S.No,Supplier Name,Supplier Parent
59,SECURITAS SECURITY SERVICES USA INC,
60,MCKESSON MEDICAL PRIMARY CARE,
61,LEXISNEXIS RISK SOLUTIONS,
62,UFCW LOCAL UNION & EMPLOYERS PLAN S,
63,CALLIDUS SOFTWARE INC,
64,VERIZON WIRELESS,
65,BON SECOURS ST FRANCIS MED CTR,
66,ELSEVIER INC,
67,INOVALON INC,
68,HEALTHFIRST HEALTH PLAN INC,
69,UPTODATE INC-,
70,MERCER HEALTH & BENEFITS,
71,FEDERAL REALTY INVESTMENT TRUST,
72,ARIBA INC,
73,BAPTIST HEALTH OF SOUTH FLORIDA INC,
74,BON SECOURS RICHMOND COMMUNITY HOSP,
75,"INFOR US, INC.",
76,INTRADO INTERACTIVE SERVICES CORPOR,
77,SCP 2003D-GL-33 LLC,
78,TAU SOUTH LLC,
79,COLE OF GLENVIEW IL LLC,
80,CENTRAL OHIO UFCW RETAIL,
81,WEC 2000B-GL-7 LLC,
82,MCKESSON MED-SURG MINN SUPPLY INC,
83,PURCHASE POWER,
84,SPOTSYLVANIA REGIONAL MED CTR,
85,UFCW UNION-EMPLOYER H&W FUND,
86,OUR LADY OF LOURDES MEMORIAL HSPTL,
87,ALBERTSONS LLC,
88,MCKESSON MEDICAL SURGICAL,
89,SOUTHERN CA UFCW UNION DRUG PENSION,
90,MERCY HEALTHCARE SACRAMENTO,
91,LEXISNEXIS RISK SOLUTIONS FL INC,
92,REALTY INCOME PROPERTIES 28 LLC,
93,TRAVELERS TRUSTEED EMP BEN PLAN,
94,THOMSON REUTERS TAX & ACCNTNG - CHC,
95,THOMSON REUTERS TAX & ACCOUNTING INC,
96,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN CTA OBO,
97,ST BERNARD PARISH HOSPITAL,
98,TAU MIDWEST LLC,
99,VERIZON,
100,OUR LADY OF THE LAKE PHYSICIANS GROUP LLC,
101,CONDUENT MEDICAL CLAIMS MANAGEMENT SOLUTIONS LLC,
102,JOHNSON CONTROLS,
103,UFCW EMPLOYER PENSION FUND,
104,GLOVER PARK GROUP LLC THE,
105,PNC BANK,
106,CONCUR TECHNOLOGIES INC,
107,OLIVER WYMAN ACTUARIAL CONSULTING,
108,BON SECOURS MARY IMMACULATE HOSP,
109,RESERVE ACCOUNT,
110,PRIME HEALTHCARE SERVICES INC,
111,INFOR (US) INC,
112,PRECISION STRATEGIES LLC,
113,LEWISGALE HOSPITAL MONTGOMERY,
114,FGS GLOBAL US LLC,
115,STREET RETAIL INC,
116,CINTAS FIRE PROTECTION,
117,UFCW LOCAL 655 WELFARE FUND,
118,TAU WEST LLC,
119,MERCER INC,
120,KANTAR LLC,
121,EXCHANGERIGHT NLP 32 MASTER LESEE L,
122,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN CTA,
123,MEDICAL SPECIALTIES DISTRIBUTORS LL,
124,THE GLOVER PARK GROUP LLC,
125,CT CORPORATION SYSTEM,
126,REALTY INCOME PROPERTIES 27 LLC,
127,CARDINAL HEALTH 200 LLC,
128,THOMSON REUTERS CORP,
129,REGENTS OF THE UNIVERSITY  OF CA,
130,ADVENT ADVISORY GROUP LLC,
131,OUR LADY OF LOURDES REGIONAL MEDICAL CENTER,
132,WEST HEALTH ADVOCATE SOLUTIONS INC,
133,SECURITAS TECHNOLOGY-,
134,ARC DBPPROP001 LLC,
135,SAFEWAY INC/PDA FAC 9875110101,
136,CHRISTUS HEALTH CENTRAL LA,
137,"QUALTRICS LAB, INC",
138,BRIGHTSTARR US INC,
139,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN,
140,WEC 2000B-GL-30 LLC,
141,LINEAR RETAIL CAMBRIDGE 1 LLC,
142,LEWISGALE HOSPITAL PULASKI,
143,LOOMIS FARGO & CO,
144,REALTY INCOME TRUST 4,
145,SECURITAS ELECTRONIC SECURITY INC,
146,AT&T MOBILITY NATIONAL BUSINESS SER,
147,EXPERIAN MARKETING SOLUTIONS INC,
148,EXPERIAN HEALTH INC,
149,MEDICAL SPECIALTIES DIST LLC,
150,VEREIT REAL ESTATE LP,
151,REALTY INCOME,
152,TRAVELERS PROPERTY CASUALTY,
153,SOUTHSIDE REG MED CTR,
154,INSIGHT,
155,REPUBLIC SERVICES INC,
156,WOLTERS KLUWER HEALTH INC,
157,PRIME HEALTHCARE SERVICES - ST CLARES LLC,
158,QUEST DIGNOSTICS INC,
159,THE REGENTS OF THE UNIVERSITY OF CA,
160,FEDEX FREIGHT EAST,
161,UFCW LOCAL 770,
162,EMMI SOLUTIONS LLC,
163,CONDUENT HEALTH ASSESSMENTS LLC,
164,CHRISTUS HEALTH SOUTHWESTERN LA,
165,AT&T MOBILITY LLC,
166,QUEST DIAGNOSTICS-,
167,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN INC,
168,LIPPINCOTT A DIVISION OF OLIVER WYM,
169,FEDERAL REALTY LAUREL 500-1235,
170,KANTAR RETAIL,
171,SHARP GROSSMONT HOSPITAL,
172,INTRADO DIGITAL MEDIA LLC,
173,LEWISGALE HOSPITAL ALLEGHANY,
174,EXCHANGERIGHT NET,
175,CARDINAL RX,
176,SAPIENT CORPORATION DBA RAZORFISH,
177,"BADILLO SAATCHI & SAATCHI, INC",
178,ENVOLVE PHARMACY SOLUTIONS,
179,MCI WORLDCOM,
180,UPMC PRESBYTERIAN SHADYSIDE,
181,"TAU SOUTH, LLC",
182,QUEST DIAGNOSTICS VENTURE LLC,
183,FEDEX OFFICE & PRINT SERVICES,
184,PITNEY BOWES INC,
185,TAU NY-NJ LLC,
186,NATIONAL ASSOC OF BOARDS OF PHARMAC,
187,MERCY HOSPITAL ST LOUIS,
188,UFCW LOCAL 2,
189,EXCHANGERIGHT NET LEASED PORTFOLIO,
190,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,
191,MCKESSON HIGH VOLUME SOLUTIONS INC,
192,MERCER HEALTH AND BENEFITS,
193,COLVEST/ HTFD-MAN-WFLD LLC,
194,NATIONAL RETAIL PROPERTIES INC,
195,EXCHANGERIGHT NLP56 MSTR LESSEE LLC,
196,REALTY INCOME PROPERTIES 3 LLC,
197,PRINCIPAL LIFE INSURANCE COMPANY,
198,FEDERAL REALTY LAUREL 500-1880,
199,COLVEST STAFFORD HEARD WOR LLC,
200,EXCHANGERIGHT NET LEASED PRTFLIO 38,
201,"COLVEST/WESTFIELD, LLC",
202,AVALERE HEALTH LLC,
203,PRINCIPAL LIFE INSURANCE CO 753119,
204,ARC DBPORBR001 LLC,
205,UFCW UNION LOCAL 880,
206,RAZORFISH HEALTH,
207,UFCW LOCAL 324,
208,BAPTIST HEALTH,
209,"COLVEST/STATE STREET, LLC",
210,SECURITAS SEC SERVICES INC,
211,UFCW LOCAL 1059,
212,COLVEST/WETHERSFIELD LLC,
213,"REALTY INCOME PROPERTIES 25, LLC",
214,LIBERTY PLAZA REALTY,
215,REALTY INCOME PROPERTIES 5 LLC,
216,THOMSON REUTERS - WEST PUBLISHING C,
217,"ABM BUILDING SOLUTIONS, LLC",
218,UFCW LOCAL 23 & EMPLOYERS HEALTH FU,
219,"COLE CV LAWRENCEVILLE NJ, LLC",
220,SHARP MEMORIAL HOSPITAL REHABILITATION CENTER,
221,PRIME HEALTHCARE SERVICES PROVIDENCE,
222,PIPER JORDAN LLC,
223,FEDERAL REALTY INVESTMENT TRUST 500,
224,"COLVEST/CENTER STREET CHICOPEE, LLC",
225,TAU CENTRAL LLC,
226,PHARMACY DEVELOPMENT MT LAURE LLC,
227,BADILLO SAATCHI AND SAATCHI INC,
228,US CHAMBER OF COMMERCE FOUNDATION,
229,QUALTRICS LLC,
230,ARC CVGNVFL001 LLC,
231,DIGITAS INC,
232,PRINCIPAL LIFE INSURANCE CO 753072,
233,EXCHANGERIGHT NET LEASED,
234,STREET RETAIL WEST 7-LP,
235,COLVEST PARKER SPFLD LLC,
236,PK I DEL NORTE PLAZA LP,
237,ASCENSION VIA CHRISTI HOSPITAL PITTSBURG INC,
238,MARSH USA INC,
239,SCP 2009-C34-079 LLC,
240,REALTY INCOME PROPERTIES 9 LLC,
241,MERCY HEALTH PHYSICIANS CINCINNATI LLC,
242,BON SECOURS DEPAUL MED CTR,
243,PITNEY BOWES PRESORT SVCS INC,
244,VERIZON WIRELESS SERVICES LLC,
245,PRINCIPAL LIFE INSURANCE CO,
246,"COLE CV WEAVERVILLE NC, LLC",
247,ST CLAIRE MEDICAL CENTER INC,
248,PARAMOUNT LMS LLC LANDIS VALLEY,
249,MIDLAND LOAN SERVICES INC 030222426,
250,OCHSNER MEDICAL CENTER KENNER,
251,MIRIXA CORPORATION,
252,SAFEWAY INC PDA FAC 25 1526 15,
253,OCHSNER LSU HEALTH SHREVEPORT,
254,MERCY HEALTH SELECT LLC,
255,COLVEST AGAWAN DEVELOPMENT CO,
256,TRIAD RETAIL MEDIA,
257,EXCHANGERIGHT NLP 22 MASTER LESSEE,
258,SCP 2007-C27-035 LLC,
259,EXCHANGERGHT NLP 48 MSTR LESSEE LLC,
260,PHARMACY DEVELOPMENT MARLTON LLC,
261,PRIME HEALTHCARE SERVICES RENO LLC,
262,NATIONAL RETAIL PROPERTIES LP,
263,"COLE CV SPARKS NV, LLC",
264,"ARC CVMCBPA001, LLC",
265,PK I GRANARY SQUARE LP,
266,MEDICAL CENTER PLAZA LP,
267,REALTY INCOME PROPERTIES 13 LLC,
268,PHARMACY DEVELOPMENT-CITY LINE LLC,
269,LOCKTON COMPANIES,
270,COLE CV SANTA FE NM LLC,
271,KIMCO BIRCHWOOD JERICHO STH LLC,
272,SSM HEALTH SYSTEM,
273,WEC 99J-32 LLC,
274,INTRADO LIFE & SAFETY INC,
275,"SUCCESSFACTORS, INC.",
276,COLE CV SALEM NH LLC,
277,EXCHANGERIGHT NLP 46 MASTER,
278,"SPIRIT CV MAYNARD MA, LLC",
279,ARCP CV RIVERTON NJ LLC,
280,COLVEST LUDLOW LLC,
281,ABM BUILDING SERVICES LLC,
282,SECURITAS SEC SVCS USA INC,
283,PK II MARINA VILLAGE LP,
284,NATIONAL RETAIL PROPERTIES INC (846,
285,COLE CV FT MYERS FL LLC,
286,COLE CV HAZLET NJ LLC,
287,STANDARD REGISTER INC,
288,BRIGHTSTAR CARE,
289,"COLE CV SOUTHAVEN (GOODMAN) MS, LLC",
290,FEDERAL REALTY PARTNERS LP,
291,"INFOR (US), INC",
292,COLE CV JACKSONVILLE FL LLC,
293,"SPIRIT CV OKEECHOBEE FL, LLC",
294,"EXCHANGERIGHT NLP 15 MASTER LESSEE,",
295,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN OBO JOHN,
296,EXCHANGERIGHT NLP 11 MASTER LESSEE,
297,EXCHANGERIGHT NLP 6 MASTER LESSEE L,
298,"CONDUENT HR CONSULTING, LLC",
299,"WEC PROPERTIES, INC",
300,"COLE CV CHERRY HILL NJ, LLC",
301,"COLVEST BELCHERTOWN, LLC",
302,REALTY INCOME PROPERTIES 22 LLC,
303,UFCW LOCAL 75,
304,EXCHANGERIGHT NLP 29 MASTER LESSEE,
305,LEXISNEXIS,
306,OUR LADY OF LOURDES HOSPITAL INC,
307,BRIGHTSTAR HEALTHCARE,
308,EXCHANGERIGHT NLP 40,
309,REALTY INCOME PRPTS 2 LLC,
310,TAU CVJKVFL LLC,
311,MARSH & MCLENNAN AGENCY LLC,
312,RELAYHEALTH,
313,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN CTA O B O,
314,SHARP CHULA VISTA MEDICAL CENTER,
315,COLVEST NORTH HAVEN LLC,
316,WEC 97K-34 INVESTMENT TRUST,
317,THOMSON REUTERS WEST,
318,COLE MT MISHAWAKA IN LLC,
319,KIMCO REALTY CO.,
320,KANSAS CITY SERIES OF LOCKTON COMPA,
321,ARC CVLVGNV001 LLC,
322,COLVEST KENSINGTON LLC,
323,CHRISTUS HEALTH,
324,WILLIS TOWERS WATSON,
325,"REALTY INCOME PROPERTIES 13, LLC",
326,"SPIRIT CV ONLEY VA, LLC",
327,PK I LKWD VLG LP #SCAW1464ALCVS///0,
328,BAPTIST HOSPITAL INC,
329,REALTY INCOME TRUST 1,
330,OCHSNER ST ANNE GENERAL HOSPITAL,
331,"REALTY INCOME PROPERTIES 27, LLC",
332,EXCHANGERIGHT NLP 55 MASTER,
333,"VEREIT REAL ESTATE, L.P.",
334,COLE CV CHICAGO (CENTERAL) IL LLC,
335,REALTY INCOME CORPORATION,
336,ARC CVKGCVA001 LLC,
337,"COLE CV THE VILLAGE OK, LLC",
338,SSM HEALTH DEPAUL HSPTL,
339,SSM HEALTH ST JOSEPH'S HSPTL,
340,SHARP REES STEALY MEDICAL GROUP,
341,ARC CVBPKAL001 LLC,
342,COLE CV LAWRENCE KS LLC,
343,SCP 2002 C6 LLC,
344,SPIRIT REALTY LP,
345,LINEAR RETAIL EAST GREENWICH 1 LLC,
346,COLVEST WINDSOR LLC,
347,WEINGARTEN REALTY INVESTORS,
348,"COLE MT COVENTRY RI, LLC",
349,TAU NORTHEAST LLC,
350,LINEAR RETAIL PEABODY 1 LLC,
351,"COLE CV MERIDIANVILLE AL, LLC",
352,PRIME HEALTHCARE SERV ST MICHAELS,
353,TAYLOR COMMUNICATIONS,
354,PITNEY BOWES,
355,ADVENTHEALTH RANSOM MEMORIAL,
356,UPTODATE INC-,
357,PRIME HEALTHCARE PARADISE VALLEY,
358,ARC CVCHIIL001 LLC,
359,"CONDUENT BUSINESS SERVICES, LLC",
360,"COLE CV GREENWOOD IN, LLC",
361,COLE CV BLOOMINGTON IN LLC,
362,COLE CV MIDDLETOWN NY LLC,
363,PHARMACY DEVELOPMENT WILDWOOD LLC,
364,"COLVEST/WINDSOR LOCKS, LLC",
365,PRIME HEALTHCARE SERVICES -LOWER BUCKS LLC,
366,"COLE CV EDINBURG TX, LLC",
367,FEDEX,
368,COLE CV AUSTIN (BEE CAVE PKWY) TX L,
369,PHARMACY DEVELOPMENT SMITHVILLE LLC,
370,"SPIRIT CV ORLANDO FL, LLC",
371,SHARP COMMUNITY MEDICAL GROUP,
372,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN-,
373,SAFEWAY PDA FAC 9893500101,
374,"TAU NY-NJ, LLC",
375,"SPIRIT CV MECHANICVILLE NY, LLC",
376,QUEST DIAGNOSTICS CLINICAL LABS INC,
377,COLE CV MINEOLA NY LLC,
378,ALBERTSONS COMPANIES INC,
379,COLE CV LINCOLN NE LLC,
380,PNC BANK NA 1029108781,
381,PITNEY BOWES SOFTWARE INC,
382,MERCER HR SERVICES LLC,
383,"PK II BROOKVALE SC, LP",
384,CENTENE CORPORATION,
385,UFCW LOCAL 135,
386,"KAMIN, DANIEL G BATON ROUGE",
387,PHARMACY DEVELOPMENT NORTHFIELD LLC,
388,WEC 97K-30 INVESTMENT TRUST,
389,KIMCO OF PENNSYLVANIA TRUST,
390,COLE CV HONESDALE PA LLC,
391,WILLIS TOWERS WATSON NORTHEAST INC,
392,ARC CVSCDFL001 LLC,
393,PHARMACY DEVELOPMENT - CAPE MAY LLC,
394,SPIRIT CV MADION MS LLC,
395,PK II MELROSE VILLAGE PLAZA LP,
396,OGILVY GROUP LLC,
397,LINEAR RETAIL PLYMOUTH #1 LLC,
398,"COLE CV EDISON NJ, LLC",
399,COLE CV BRIDGETON MO LLC,
400,COLE CV ARNOLD MO LLC,
401,CINTAS CORPORATION,
402,SCP 2007-C27-039 LLC,
403,KIMCO DELAWARE INC,
404,WEC 98D 32 LLC,
405,ASCENSION VIA CHRISTI HOSPITAL MANHATTAN INC,
406,EXCHANGERIGHT NLP 8 DST,
407,LIBERTY 8300 NORMANDALE LLC,
408,MERCY HEALTH PHYSICIANS NORTH LLC,
409,"SPIRIT CV WAYNESVILLE NC, LLC",
410,EXCHANGERIGHT NLP 10 MASTER LESSEE,
411,CHAMBER OF COMMERCE OF THE USA,
412,LANGLAND US,
413,EXCHANGERIGHT NLP 9 MASTER LESSEE L,
414,PARAMOUNT LMS LLC HOCKERSVILLE,
415,ARAMARK UNIFORM & CAREER APPAREL IN,
416,"COLE CV NAPLES FL, LLC",
417,COLE CV BOCA RATON (YAMATO) FL LLC,
418,OUR LADY OF THE ANGELS HOSPITAL,
419,"SPIRIT CV GLENVILLE SCOTIA NY, LLC",
420,EXCHANGERIGHT NLP 13 MASTER LESSEE,
421,COLE CV INDEPENDENCE MO LLC,
422,SPIRIT CV GULFPORT MS LLC,
423,COLE CV ST. JOHN MO LLC,
424,"COLE CV LYNCHBURG VA, LLC",
425,STRATEGIC BENEFIT ADVISORY INC,
426,LINEAR RETAIL MEDFORD 1 LLC,
427,PARAMOUNT LMS LLC- JOHNNYCAKE,
428,COLE CV POPLAR BLUFF MO LLC,
429,EXCHANGERIGHT NET LEASED PRTFL 7 LL,
430,UPMC COMMUNITY MEDICINE INC,
431,"COLE CV MADISON HEIGHTS VA, LLC",
432,INTRADO INTERACTIVE CORPORATION,
433,CTA STEPHENSON ACQUISTO & COLMAN O/B/O TRI-CITY MEDICAL CENTER,
434,"KAMIN, DANIEL G SHREVEPORT LLC",
435,COLE MT RINGGOLD GA LLC,
436,THE OGILVY GROUP INC,
437,FAMILY HEALTH CARE OF SIOUXLAND,
438,"SPIRIT CV HAMILTON OH, LLC",
439,COLE CV SAND SPRINGS OK LLC,
440,COLE CV CITY OF INDUSTRY CA LP,
441,CONDUENT HR SERVICES LLC,
442,"ARC CVNCTPA001, LLC",
443,SPIRIT CV DEL CITY OK LLC,
444,COLE CV VINELAND NJ LLC,
445,ARC CVCHIIL002 LLC,
446,"COLE CV NEW PORT RICHEY FL, LLC",
447,PRINCIPAL LIFE INSURANCE CO 753146,
448,NATIONAL RETAIL PROPERTIES INC (015,
449,"COLE CV EVANSVILLE IN, LLC",
450,DANIEL G KAMIN WEST MARKLAND LLC,
451,COLE CV EMINENCE KY LLC,
452,PIPER JORDAN,
453,COVESTRE CAPITAL PROPCO 3 LLC,
454,MEDICAL SPECIALTIES DISTRIBUTORS,
455,MERCER HEALTH & BENEFITS ADMINISTRATION LLC,
456,COLE CV CICERO IN LLC,
457,COLE CV HANOVER TOWNSHIP NJ LLC,
458,"COLE CV IRVING TX, LLC",
459,COLE CV WEST MONROE LA LLC,
460,DANIEL G KAMIN TAYLORS WADE HMPTN L,
461,SAPIENT CORPORATION,
462,DAN G KAMIN BATON ROUGE AIRLINE HWY,
463,AT&T CORPORATION,
464,LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN O B O,
465,COLE CV INDIANAPOLIS IN LLC,
466,"SPIRIT CV FLORENCE SC, LLC",
467,"COLE CV TITUSVILLE PA, LLC",
468,PITNEY BOWES GLOBAL FINANCIAL SERV,
469,PARAMOUNT LMS LLC-LANSDOWNE,
470,REALTY INCOME ILLINOIS PRPRTS 2 LLC,
471,BEECHER CARLSON HOLDINGS INC,
472,REALTY INCOME PROPERTIES 30 LLC,
473,"ARC CVFKNIN001, LLC",
474,LIBERTY DEVELOPMENT OF NASHUA LLC,
475,COLE CV SAN ANTONIO TX LLC,
476,CARDINAL HEALTH,
477,VIA CHRISTI OCC MEDICINE,
478,COLE CV DOVER DE LLC,
479,WEC 98H-17 LLC,
480,COLE CV WAYNESBORO VA LLC,
481,COLE CV CHESAPEAKE VA LLC,
482,DANIEL G KAMIN CELINA LLC,
483,BRIGHTSTAR,
484,COVESTRE CAPITAL PROPCO 2 LLC,
485,ARC CVCOLSC002,
486,"COLE CV KATY, TX, LLC",
487,SPIRIT CV COLUMBIA TN I LLC,
488,WEC 98H-26 LLC,
489,ST. ANTHONY SHAWNEE HOSPITAL,
490,COLE CV JANESVILLE WI LLC,
491,PRIME HEALTHCARE FOUNDATION SOUTHERN REGIONAL,
492,PARAMOUNT LMS LLC DOE RUN,
493,EXCHANGERIGHT NLP 37 MASTER LESSEE,
494,MERCER HEALTH & BENEFITS LLC,
495,SAFEWAY INC FAC 25098315,
496,PARAMOUNT LMS LLC- MOUNT JOY,
497,SPIRIT CV CLINTON NY LLC,
498,WINN PARISH MEDICAL CENTER,
499,WEC 98H 33 LLC LN 38 6000169,
500,WOLTERS KLUWER CLINICAL DRUG INFORMATION INC,
501,EXCHANGERIGHT NLP 54 MASTER LESSEE,
502,INTERIM HEALTHCARE,
503,PRIME HEALTH SERVICES INC,
504,COLE CV BLUE SPRINGS MO LLC,
505,PARAMOUNT LMS LLC-EDGEWOOD,
506,EXCHANGERIGHT NLP 41 MASTER LESSEE,
507,WEC 2000-GL-2 LLC,
508,"SPIRIT CV AMARILLO TX, LLC",
509,SPIRIT CV FAIRVIEW TOWNSHIP PA LLC,
510,UFCW LOCAL 1167,
511,LINEAR RETAIL WELLESLEY #2 LLC,
512,COLE CV AUBURNDALE FL LLC,
513,MARSH & MCLENNON COMPANIES INC,
514,UFCW LOCAL 1442,
515,INGERSOLL RAND COMPANY,
516,PRINCIPAL LIFE INS CO,
517,COLE CV GOOSE CREEK SC LLC,
518,WEC 2000B CSF 17 LLC,
519,DANIEL G KAMIN DICKSON LLC,
520,ARC CVSBGGA001 LLC,
521,EXCHANGERIGHT NLP 61,
522,BRIGHTSTAR CHESAPEAKE,
523,8032 LIBERTY ROAD OWNER LLC,
524,EXCHANGERIGHT NLP 59 MASTER,
525,SCP 2009-C34-091 LLC,
526,UFCW LOCAL 1428,
527,NATIONAL RETAIL PROPERTIES LP (494),
528,KIMCO CORPORATION,
529,EXCHANGERIGHT NLP 26 MASTER LESSEE,
530,PHARMACY DEVELOPMENT MALAGA LLC,
531,DANIEL G KAMIN BRADFORD LLC,
532,"COLE CV ERIE PA, LLC",
533,TRAVELERS,
534,"ARC CVSPGPA001, LLC",
535,"COLE CV GREENVILLE SC, LLC",
536,UNITED STATES POSTAL SERVICE,
537,DAN G KAMIN 150 MADISON RD CULPEPER,
538,PARMED PHARMACEUTICALS,
539,COLE CV SEDALIA MO LLC,
540,INTRADO INTERACTIVE SERVICES CORP,
541,ARC CVAPAGA001 LLC,
542,PHARMACY DEVELOPMENT EASTAMPTON LLC,
543,PHARMACY DEVELOPMENT READING LP,
544,BANK OF AMERICA AS TRUSTEE,
545,WEC 98H-36 LLC,
546,ABILITY NETWORK INC,
547,GCA SERVICES GROUP,
548,COLE CV WISCONSIN RAPIDS WI LLC,
549,BAPTIST HEALTH NETWORK PARTNERS,
550,"COLE CV CORPUS CHRISTI TX, LLC",
551,"EXCHANGERIGHT NLP 18 MASTER LESSEE,",
552,YMCA OF CENTRAL KENTUCKY,
553,DAN G KAMIN 700 MRRMC TRAIL WLLMSBR,
554,QUEST DIAGNOSTICS INCORPORATED,
555,"COLE CV AUSTIN TX, LLC",
556,SCP 2006 C23 182 LLC,
557,NATIONAL RETAIL PROPERTIES LP (253),
558,REALTY INCOME PROPERTIES 29 LLC,
559,COLE CV INDEPENDENCE W 23TD ST MO L,
560,MERCER,
561,SECURITAS SECURITY SVCS USA INC,
562,REALTY INCOME CK 1 LLC,
563,COLE CV LONDON KY LLC,
564,EXCHANGERIGHT NLP 19 MASTER LESSEE,
565,BRIGHTSTAR CARE ROSEVILLE,
566,OAK CAP VENTURES MISSOURI,
567,COLE CV TIPTON IN LLC,
568,AT&T INC,
569,OCHSNER AMERICAN LEGION HOSPITAL LLC,
570,DANIEL G KAMIN BRYAN LLC,
571,HARDTNER MEDICAL CENTER,
572,SPIRIT CV SCIOTO TRAIL OH LLC,
573,ARC CVHDYVA001 LLC,
574,WEC 98H-13 LLC,
575,DANIEL G KAMIN ERIE LLC,
576,DANIEL G KAMIN HOOPESTON LLC,
577,ARC CVVDAGA001 LLC,
578,PK I LKWD VLG LP NO SCAW1464ALCVS,
579,WEC 98H-11 LLC,
580,REALTY INCOME PROPERTIES 21 LLC,
581,UFCW LOCAL 881,
582,ARC CVGVLSC001 LLC,
583,PARAMOUNT LMS LLC JOHNNYCAKE,
584,"COLE CV TEMPLE HILLS MD, LLC",
585,ARCP MT SPRINGFIELD MA LLC,
586,"COLE CV MANSFIELD OH, LLC",
587,DANIEL G KAMIN PELZER LLC,
588,WEC 98H-35 LLC,
589,"ARC CVRTRNY001, LLC",
590,ST JOSEPH HERITAGE HEALTHCARE,
591,EXCHANGERIGHT NLP 24 MASTER LESSEE,
592,REALTY INCOME PROPERTIES 17 LLC,
593,PITNEY BOWES INC.,
594,WEC 98H14 LLC,
595,SCP 2006-C23-144 LLC,
596,COVESTRE CAPITAL PROPCO 1 LLC,
597,NNN REIT INC-,
598,"COLE CV ASHEVILLE NC, LLC",
599,DANIEL G KAMIN NORTON LLC,
600,UFCW 1776KS HEALTH FUND,
601,TRION GROUP,
602,WEC 98H-3 LLC,
603,WEC 98H-22 LLC,
604,KIMCO W-S LIMITED PARTNERSHIP,
605,EXCHANGERIGHT NLP 58 MASTER,
606,COLE CV GULF BREEZE FL LLC,
607,WEC 2000A-9 LLC,
608,"COLE CV EDEN NC, LLC",
609,OCHSNER MORGAN CITY LLC,
610,DANIEL G KAMIN WEST WARWICK LLC,
611,"ARC CVTDAPA001, LLC",
612,EXCHANGERIGHT NLP 42 MASTER LESSEE,
613,SECURITAS TECHNOLOGY-,
614,ARCP CV DANVILLE IN LLC,
615,ADVENTHEALTH SOUTH OVERLAND PARK INC,
616,LEXISNEXIS RISK DATA MANAGEMENT INC,
617,CTA LAW OFFICES OF STEPHENSON ACQUISTO & COLMAN,
618,"COLE CV KERNERSVILLE NC, LLC",
619,COLE CV EDINBURGH IN LLC,
620,NATIONAL RETAIL PROPERTIES INC 7012,
